certificate,genre,rate,metascore,votes,gross,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Actor_won,Oscar_Best_Actress_won
PG-13,Drama|Romance|Sport,7.19999981,70.0,14809,27440000.0,67.0,1727.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Music,5.5999999,27.0,92599,60790000.0,154.0,1673.0,0,0,No,No,No,No,No
PG-13,Drama|Musical|Romance,7.5999999,66.0,229031,57390000.0,209.0,947.0,24,62,No,Yes,No,No,No
R,Biography|Drama,7.19999981,56.0,91691,48810000.0,97.0,2837.0,0,0,No,No,No,No,No
R,Crime|Thriller,7.30000019,79.0,44469,6940000.0,148.0,2800.0,3,9,No,No,No,No,No
R,Drama,7.69999981,85.0,23102,9180000.0,124.0,1922.0,5,16,No,No,No,No,No
R,Crime|Horror|Mystery,5.30000019,22.0,22568,28930000.0,103.0,2819.0,0,0,No,No,No,No,No
PG-13,Comedy|Romance|Sport,5.9000001,52.0,71924,68350000.0,138.0,1386.0,0,0,No,No,No,No,No
R,Drama|Sci-Fi|Thriller,7.9000001,84.0,374207,35290000.0,375.0,581.0,13,31,No,No,No,No,No
PG-13,Comedy|Fantasy|Romance,6.4000001,47.0,163233,182810000.0,151.0,2292.0,0,1,No,No,No,No,No
R,Comedy|Crime,8.30000019,55.0,623296,30090000.0,151.0,307.0,0,0,No,No,No,No,No
R,Drama|Thriller,7.0,59.0,20825,17800000.0,139.0,,0,6,No,No,No,No,No
R,Comedy|Drama|Music,7.0,60.0,2837,70000.0,35.0,,0,0,No,No,No,No,No
Not Rated,Drama,5.9000001,,25403,,87.0,2211.0,0,0,No,No,No,No,No
R,Mystery|Thriller,8.5,80.0,879688,25530000.0,274.0,441.0,10,26,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,6.30000019,48.0,253782,202010000.0,202.0,1091.0,0,0,No,No,No,No,No
PG-13,Comedy|Romance,5.19999981,33.0,63095,60400000.0,107.0,2415.0,0,0,No,No,No,No,No
R,Horror|Sci-Fi|Thriller,6.30000019,40.0,81554,61280000.0,226.0,982.0,2,5,No,No,No,No,No
PG,Biography|Drama|Sport,7.80000019,48.0,165555,115650000.0,156.0,767.0,0,0,No,No,No,No,No
G,Adventure|Comedy|Family,4.80000019,35.0,27364,66940000.0,83.0,,0,0,No,No,No,No,No
R,Action|Horror|Sci-Fi,4.4000001,25.0,40185,12610000.0,204.0,1425.0,0,0,No,No,No,No,No
R,Comedy|Romance,8.39999962,69.0,559498,33200000.0,245.0,680.0,7,20,No,No,No,No,No
PG-13,Comedy|Romance,7.0,73.0,267609,166230000.0,148.0,2322.0,1,2,No,No,No,No,No
PG-13,Action|Comedy|Crime,6.19999981,43.0,142566,106810000.0,140.0,1384.0,0,2,No,No,No,No,No
PG-13,Adventure|Drama|Sci-Fi,7.0999999,65.0,245306,78620000.0,281.0,1157.0,2,22,No,No,No,No,No
R,Crime|Drama|Thriller,6.80000019,57.0,213634,165090000.0,276.0,896.0,0,0,No,No,No,No,No
PG-13,Action|Drama|History,6.0999999,44.0,262093,198540000.0,191.0,314.0,0,7,No,No,No,No,No
R,Comedy|Drama|Romance,7.5,54.0,68675,3430000.0,86.0,1623.0,0,4,No,No,No,No,No
R,Adventure|Comedy,6.5,55.0,136119,68530000.0,103.0,1812.0,0,0,No,No,No,No,No
R,Drama|History|War,7.5999999,53.0,195763,51400000.0,186.0,1228.0,0,0,No,No,No,No,No
R,Comedy|Drama|Romance,7.30000019,78.0,7932,640000.0,55.0,,0,0,No,No,No,No,No
R,Crime|Drama,7.5,72.0,324867,77680000.0,232.0,267.0,13,51,No,Yes,No,No,No
PG-13,Drama|Mystery|Sci-Fi,7.19999981,62.0,251457,95000000.0,293.0,184.0,0,2,No,No,No,No,No
R,Drama|Mystery|Romance,6.0,33.0,45973,16250000.0,91.0,2280.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Fantasy,6.69999981,42.0,88458,75760000.0,124.0,2103.0,0,0,No,No,No,No,No
R,Drama|Fantasy|Horror,6.69999981,62.0,53408,11990000.0,169.0,2608.0,0,0,No,No,No,No,No
R,Biography|Crime|Drama,7.5999999,52.0,203294,52940000.0,145.0,941.0,0,1,No,No,No,No,No
PG,Animation|Action|Adventure,6.80000019,52.0,75722,84040000.0,146.0,1955.0,0,4,No,No,No,No,No
PG-13,Comedy|Fantasy,6.0,49.0,83644,37880000.0,124.0,2636.0,0,0,No,No,No,No,No
PG-13,Horror|Mystery|Thriller,7.5999999,74.0,277145,96470000.0,243.0,1843.0,2,13,No,No,No,No,No
PG-13,Action|Crime|Thriller,6.69999981,58.0,280110,144510000.0,187.0,701.0,1,1,No,No,No,No,No
R,Action|Sci-Fi,7.19999981,62.0,432102,281490000.0,272.0,1062.0,0,2,No,No,No,No,No
PG-13,Comedy|Drama|War,7.80000019,69.0,4281,1320000.0,48.0,,0,0,No,No,No,No,No
R,Action|Drama|Sci-Fi,7.5,33.0,267971,1190000.0,145.0,1688.0,0,0,No,No,No,No,No
PG-13,Drama|Romance,7.80000019,77.0,12821,3220000.0,90.0,,0,1,No,No,No,No,No
PG-13,Crime|Thriller,7.80000019,74.0,415669,183410000.0,183.0,667.0,0,6,No,No,No,No,No
PG-13,Comedy|Romance,6.9000001,52.0,88311,49970000.0,120.0,1770.0,0,0,No,No,No,No,No
PG-13,Drama|Romance,7.30000019,64.0,153911,71310000.0,152.0,2047.0,2,20,No,Yes,No,No,No
PG,Adventure|Family|Fantasy,7.5,64.0,469660,317560000.0,265.0,117.0,2,25,No,No,No,No,No
R,Biography|Crime|Drama,7.0,45.0,30016,510000.0,75.0,1152.0,0,0,No,No,No,No,No
R,Drama|History|Romance,6.0999999,42.0,4512,430000.0,48.0,,0,0,No,No,No,No,No
R,Action|Sci-Fi,6.69999981,47.0,374138,139260000.0,244.0,1548.0,0,1,No,No,No,No,No
R,Crime|Drama,7.5999999,73.0,88225,7490000.0,195.0,3939.0,9,22,No,No,No,No,No
R,Comedy|Drama|Romance,6.69999981,66.0,180844,71500000.0,174.0,848.0,1,10,No,No,No,No,No
R,Comedy|Romance,6.69999981,42.0,42097,290000.0,71.0,1934.0,0,0,No,No,No,No,No
Unrated,Comedy|Fantasy|Romance,6.4000001,50.0,1467,,17.0,,0,0,No,No,No,No,No
PG,Animation|Adventure|Family,8.60000038,94.0,445337,10050000.0,249.0,494.0,5,11,No,No,No,No,No
R,Adventure|Comedy|Drama,7.69999981,88.0,94364,13620000.0,175.0,1236.0,7,11,No,No,No,No,No
R,Horror,5.5,30.0,66992,41870000.0,150.0,2409.0,0,0,No,No,No,No,No
R,Drama|Thriller,8.10000038,83.0,180554,5380000.0,157.0,2742.0,3,9,No,No,No,No,No
