certificate,genre,rate,metascore,votes,gross,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Actor_won,Oscar_Best_Actress_won
PG-13,Drama|Fantasy|Musical,7.4000001,56.0,93815,24340000.0,158.0,1338.0,1,2,No,No,No,No,No
PG-13,Action|Comedy|Fantasy,7.5,69.0,284070,31490000.0,394.0,354.0,1,11,No,No,No,No,No
R,Adventure|Sci-Fi|Thriller,7.30000019,64.0,195570,3680000.0,310.0,1583.0,0,2,No,No,No,No,No
PG-13,Action|Crime|Drama,6.4000001,49.0,356899,227950000.0,321.0,1160.0,0,1,No,No,No,No,No
PG,Animation|Action|Adventure,6.69999981,65.0,118146,149230000.0,246.0,4311.0,0,5,No,No,No,No,No
R,Comedy|Drama,7.80000019,80.0,366534,59890000.0,239.0,1142.0,15,43,No,Yes,No,No,No
PG-13,Action|Adventure|Fantasy,7.0999999,50.0,486968,309400000.0,300.0,813.0,2,9,No,No,No,No,No
R,Drama,7.5,69.0,249475,34300000.0,251.0,1865.0,7,50,No,Yes,No,No,No
PG-13,Biography|Drama|Music,7.5999999,66.0,68045,10299782.0,210.0,1560.0,10,22,No,No,No,No,Yes
R,Adventure|Drama|Thriller,8.0,64.0,413538,57370000.0,164.0,1596.0,0,6,No,No,No,No,No
R,Horror,5.9000001,55.0,142505,47280000.0,302.0,1731.0,0,0,No,No,No,No,No
R,Action|Sci-Fi|Thriller,6.4000001,43.0,170577,36060000.0,229.0,1396.0,0,0,No,No,No,No,No
R,Crime|Drama|Mystery,7.69999981,72.0,200923,20300000.0,252.0,422.0,8,14,No,No,No,No,No
R,Drama|Mystery|Thriller,6.0999999,49.0,21852,1300000.0,182.0,,0,2,No,No,No,No,No
PG-13,Drama|Fantasy|Mystery,5.5999999,36.0,80401,42270000.0,282.0,613.0,0,0,No,No,No,No,No
PG-13,Action|Sci-Fi|Thriller,7.0,59.0,249027,64030000.0,201.0,1713.0,0,0,No,No,No,No,No
R,Horror,6.4000001,52.0,134308,41780000.0,265.0,1380.0,0,0,No,No,No,No,No
R,Crime|Drama|Mystery,7.5999999,76.0,280653,88500000.0,228.0,861.0,0,0,No,No,No,No,No
PG,Adventure|Drama|Fantasy,7.9000001,79.0,458272,124980000.0,555.0,844.0,10,44,No,Yes,Yes,No,No
PG-13,Biography|Drama,8.0,64.0,351926,162590000.0,201.0,1096.0,0,6,No,No,No,No,No
PG-13,Comedy|Romance|Sport,6.4000001,45.0,120364,1020000.0,91.0,1479.0,0,0,No,No,No,No,No
R,Biography|Drama|History,7.69999981,74.0,149442,17605861.0,251.0,2252.0,13,19,No,No,No,Yes,No
PG-13,Adventure|Drama|Romance,6.5999999,53.0,104684,49550000.0,245.0,2449.0,0,3,No,No,No,No,No
R,Action|Crime|Thriller,7.19999981,57.0,241373,101530000.0,296.0,301.0,0,1,No,No,No,No,No
PG-13,Comedy|Romance,5.80000019,41.0,68991,41010000.0,100.0,1034.0,0,0,No,No,No,No,No
R,Comedy,7.0,33.0,68919,6090000.0,60.0,1657.0,0,0,No,No,No,No,No
R,Drama|Fantasy|War,8.19999981,98.0,485990,37620000.0,415.0,561.0,17,36,No,No,No,No,No
R,Drama,7.80000019,78.0,26563,1530000.0,132.0,,0,0,No,No,No,No,No
PG-13,Comedy|Romance,6.9000001,52.0,190813,63220000.0,157.0,1509.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,6.9000001,66.0,531075,176640000.0,516.0,386.0,0,2,No,No,No,No,No
PG-13,Comedy|Drama,6.80000019,62.0,295838,124730000.0,206.0,434.0,3,22,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,6.69999981,40.0,374165,179880000.0,351.0,589.0,0,1,No,No,No,No,No
R,Adventure|Comedy|Drama,7.9000001,64.0,91174,2280000.0,185.0,1414.0,1,4,No,No,No,No,No
PG,Animation|Comedy|Family,7.0999999,75.0,147126,127710000.0,220.0,991.0,1,8,No,No,No,No,No
R,Drama|Music,7.0,52.0,53820,9400000.0,196.0,962.0,0,0,No,No,No,No,No
R,Action|Horror|Thriller,7.5999999,77.0,158407,25030000.0,250.0,1803.0,0,0,No,No,No,No,No
PG-13,Crime|Drama|Music,6.5,48.0,94013,65270000.0,107.0,1129.0,0,0,No,No,No,No,No
PG-13,Action|Crime|Romance,6.0,46.0,185887,62490000.0,158.0,999.0,0,0,No,No,No,No,No
R,Crime|Drama|Thriller,7.30000019,82.0,136587,49024969.0,298.0,1939.0,2,36,No,Yes,No,No,No
R,Crime|Drama|Romance,7.4000001,73.0,65971,17510000.0,218.0,4865.0,0,22,No,No,No,No,No
PG-13,Biography|Drama|History,6.69999981,50.0,86650,26810000.0,168.0,1819.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama,7.5,81.0,424948,143490000.0,387.0,998.0,14,35,No,Yes,No,No,No
R,Drama,7.19999981,85.0,72714,2690000.0,209.0,1628.0,3,15,No,No,No,No,No
R,Crime|Drama,7.30000019,70.0,25445,2910000.0,155.0,,0,3,No,No,No,No,No
PG-13,Action|Crime|Drama,9.0,82.0,1743331,533320000.0,649.0,114.0,27,65,No,No,No,No,No
R,Drama|History,8.10000038,92.0,389582,40220000.0,397.0,509.0,28,63,No,Yes,No,Yes,No
R,Drama|Mystery|Sci-Fi,7.69999981,78.0,324977,25440000.0,502.0,141.0,8,33,No,No,No,No,No
R,Action|Adventure|Drama,7.80000019,68.0,242653,50860000.0,280.0,727.0,0,5,No,No,No,No,No
R,Biography|Comedy|Drama,7.0999999,69.0,91203,66640000.0,269.0,1769.0,0,10,No,No,No,No,No
PG,Comedy|Fantasy|Romance,6.80000019,48.0,51814,10010000.0,122.0,1522.0,0,0,No,No,No,No,No
R,Action|Crime|Thriller,6.5999999,49.0,125762,29110000.0,256.0,1255.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,6.5999999,50.0,228789,90760000.0,305.0,1473.0,0,1,No,No,No,No,No
R,Action|Drama|Romance,7.0,70.0,37287,6570000.0,186.0,,2,4,No,No,No,No,No
R,Drama|History|Thriller,7.5999999,90.0,85603,31470000.0,278.0,4634.0,11,26,No,No,No,No,No
PG-13,Comedy|Mystery,6.30000019,72.0,82710,29997095.0,452.0,175.0,0,6,No,No,No,No,No
R,Action|Crime|Drama,6.69999981,45.0,122972,35640000.0,183.0,1954.0,0,0,No,No,No,No,No
PG-13,Comedy|Romance,4.0,27.0,54712,95320000.0,124.0,3151.0,0,0,No,No,No,No,No
PG-13,Action|Thriller,6.80000019,69.0,154527,81560000.0,317.0,1028.0,0,1,No,No,No,No,No
PG-13,Adventure|Drama|Mystery,6.9000001,46.0,84271,31836745.0,283.0,2639.0,1,7,No,Yes,No,No,No
PG,Adventure|Comedy|Family,6.4000001,48.0,244334,250860000.0,177.0,2060.0,0,0,No,No,No,No,No
R,Crime|Drama|Thriller,8.10000038,91.0,640561,74270000.0,488.0,359.0,34,60,Yes,Yes,Yes,No,No
R,Crime|Drama|Mystery,7.19999981,65.0,61556,6780000.0,232.0,,0,2,No,No,No,No,No
PG-13,Drama|Fantasy,6.80000019,85.0,140519,13300000.0,583.0,1518.0,24,36,No,Yes,No,No,No
R,Comedy|Romance,7.0,85.0,304982,148730000.0,248.0,1427.0,1,4,No,No,No,No,No
PG-13,Action|Adventure|Comedy,7.4000001,64.0,346721,180190000.0,526.0,342.0,0,4,No,No,No,No,No
PG,Drama|Sport,7.19999981,63.0,167624,70270000.0,283.0,1649.0,0,0,No,No,No,No,No
PG,Comedy|Crime|Family,5.9000001,53.0,16314,25580000.0,91.0,1337.0,0,0,No,No,No,No,No
PG-13,Drama|Horror|Sci-Fi,7.19999981,65.0,551620,256390000.0,326.0,901.0,0,2,No,No,No,No,No
PG,Animation|Adventure|Comedy,7.19999981,55.0,157136,187170000.0,262.0,2180.0,0,5,No,No,No,No,No
PG-13,Drama|Mystery|Sci-Fi,8.5,66.0,883806,53080000.0,346.0,271.0,1,10,No,No,No,No,No
R,Horror|Mystery|Thriller,6.19999981,47.0,94840,52530000.0,278.0,1666.0,0,0,No,No,No,No,No
Not Rated,Animation|Adventure|Family,7.69999981,81.0,24126,690000.0,119.0,,0,0,No,No,No,No,No
R,Comedy,6.30000019,46.0,55609,19180000.0,92.0,1869.0,0,0,No,No,No,No,No
PG-13,Adventure|Family|Fantasy,7.69999981,66.0,217400,38350000.0,227.0,482.0,0,0,No,No,No,No,No
PG-13,Drama|Mystery|Thriller,6.9000001,62.0,190901,80050000.0,253.0,1194.0,0,1,No,No,No,No,No
R,Crime|Drama|Mystery,7.19999981,68.0,144675,39000000.0,199.0,514.0,0,0,No,No,No,No,No
PG-13,Crime|Drama|Thriller,7.80000019,72.0,11938,130000.0,74.0,,0,0,No,No,No,No,No
R,Biography|Crime|Drama,5.80000019,32.0,8783,60000.0,66.0,347.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,6.0999999,35.0,248587,80170000.0,237.0,1535.0,0,0,No,No,No,No,No
R,Comedy|Drama|Romance,7.0999999,82.0,11283,3340000.0,137.0,,0,9,No,No,No,No,No
R,Drama|History,7.69999981,79.0,9816,860000.0,189.0,18.0,0,8,No,No,No,No,No
PG-13,Drama,7.5999999,88.0,19254,15830000.0,175.0,,10,14,No,No,No,No,No
R,Action|Crime|Fantasy,6.69999981,64.0,306896,134570000.0,315.0,541.0,0,2,No,No,No,No,No
PG-13,Crime|Thriller,6.9000001,62.0,264301,117140000.0,233.0,1141.0,1,2,No,No,No,No,No
PG-13,Drama|Romance,7.19999981,70.0,204364,23210000.0,277.0,1395.0,5,18,No,No,No,No,No
R,Drama|History|War,7.9000001,91.0,135006,13753931.0,,,4,12,No,Yes,No,No,No
PG-13,Action|Adventure|Fantasy,7.9000001,83.0,914812,760510000.0,722.0,262.0,16,46,No,Yes,No,No,No
R,Action|Horror|Sci-Fi,4.69999981,29.0,95087,41800000.0,209.0,1759.0,0,0,No,No,No,No,No
Unrated,Action|Drama|War,6.80000019,,4050,100000.0,49.0,,0,0,No,No,No,No,No
R,Horror,5.5999999,34.0,77290,65000000.0,311.0,729.0,0,0,No,No,No,No,No
R,Comedy|Drama|Romance,6.69999981,55.0,148075,32360000.0,219.0,1022.0,0,2,No,No,No,No,No
R,Adventure|Biography|Drama,8.19999981,73.0,445752,18350000.0,278.0,553.0,1,25,No,No,No,No,No
PG-13,Comedy|Music|Romance,6.5,59.0,83619,50560000.0,174.0,1459.0,0,0,No,No,No,No,No
R,Action|Drama|Romance,7.0999999,57.0,178979,39380000.0,238.0,1823.0,0,1,No,No,No,No,No
R,Biography|Crime|Drama,7.80000019,76.0,332471,130130000.0,298.0,920.0,1,14,No,No,No,No,No
R,Action|Biography|Crime,7.4000001,76.0,30578,480000.0,161.0,,0,2,No,No,No,No,No
R,Crime|Mystery|Thriller,7.69999981,82.0,194347,17110000.0,356.0,1073.0,0,15,No,No,No,No,No
PG-13,Action|Adventure|Comedy,5.69999981,29.0,61270,70220000.0,174.0,722.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,7.0999999,55.0,565999,291020000.0,739.0,506.0,0,4,No,No,No,No,No
PG,Animation|Drama,7.5,82.0,29236,2230000.0,215.0,,1,8,No,No,No,No,No
R,Comedy|Drama,7.19999981,85.0,32658,6610000.0,201.0,,1,6,No,No,No,No,No
R,Crime|Drama,7.80000019,78.0,448836,35050000.0,683.0,278.0,11,44,No,No,No,No,No
G,Animation|Adventure|Comedy,7.0999999,73.0,92560,104370000.0,229.0,1957.0,1,10,No,No,No,No,No
R,Comedy|Crime|Drama,8.0,67.0,316575,7760000.0,301.0,1375.0,5,17,No,No,No,No,No
R,Drama|Fantasy|Horror,5.80000019,43.0,91365,61940000.0,358.0,3226.0,0,0,No,No,No,No,No
R,Drama|Mystery|Romance,7.80000019,85.0,198549,50920000.0,317.0,527.0,8,55,No,Yes,No,No,No
PG,Animation|Adventure|Comedy,6.80000019,61.0,44268,50810000.0,221.0,4221.0,1,10,No,No,No,No,No
R,Biography|Drama,8.0,84.0,341680,27300000.0,474.0,480.0,15,26,No,Yes,No,Yes,No
R,Drama|Romance|War,7.19999981,77.0,30267,70000.0,216.0,4366.0,0,10,No,No,No,No,No
PG-13,Action|Crime|Mystery,7.0,50.0,241427,58680000.0,390.0,304.0,0,0,No,No,No,No,No
R,Comedy,7.4000001,67.0,92007,8580000.0,166.0,1698.0,0,0,No,No,No,No,No
PG-13,Comedy|Family|Musical,6.30000019,51.0,149917,143700000.0,237.0,911.0,1,12,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,8.0,82.0,519255,257700000.0,525.0,470.0,3,22,No,No,No,No,No
R,Comedy|Drama|Romance,7.19999981,67.0,222870,62880000.0,253.0,508.0,0,4,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,6.80000019,61.0,335623,134520000.0,358.0,1226.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,5.80000019,39.0,234476,163190000.0,343.0,908.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,7.0,57.0,556147,181020000.0,520.0,634.0,0,2,No,No,No,No,No
PG-13,Comedy|Drama|Romance,7.4000001,70.0,118030,5950000.0,227.0,1285.0,0,5,No,No,No,No,No
PG-13,Mystery|Thriller,6.69999981,48.0,221001,133380000.0,305.0,1202.0,0,1,No,No,No,No,No
R,Crime|Drama|Horror,6.5,44.0,71967,1290000.0,250.0,1212.0,0,0,No,No,No,No,No
PG-13,Animation|Biography|Drama,8.10000038,90.0,72868,4440000.0,240.0,4625.0,2,10,No,No,No,No,No
PG,Biography|Drama|Romance,7.0,81.0,21885,4440000.0,224.0,,1,6,No,No,No,No,No
R,Biography|Drama|Romance,7.0,66.0,100926,12710000.0,324.0,263.0,6,25,No,No,No,No,No
R,Crime|Drama|War,7.5999999,78.0,37554,5480000.0,163.0,,0,1,No,No,No,No,No
PG,Adventure|Family|Fantasy,5.9000001,47.0,145732,88760000.0,218.0,882.0,0,0,No,No,No,No,No
PG-13,Drama|Romance,7.69999981,36.0,240100,69950000.0,201.0,1660.0,0,0,No,No,No,No,No
PG-13,Drama|War,7.5999999,53.0,103864,21480000.0,253.0,2111.0,0,3,No,No,No,No,No
R,Action|Adventure|Fantasy,5.19999981,36.0,83921,21270000.0,313.0,1576.0,0,0,No,No,No,No,No
PG-13,Adventure|Drama|Sci-Fi,8.60000038,74.0,996629,187990000.0,722.0,103.0,3,24,No,No,No,No,No
PG-13,Action|Adventure|Horror,7.0,63.0,481888,202350000.0,656.0,804.0,0,3,No,No,No,No,No
PG-13,Comedy|Romance,5.69999981,34.0,97522,110480000.0,186.0,1105.0,0,1,No,No,No,No,No
R,Action|Crime|Drama,7.19999981,53.0,263555,46980000.0,196.0,511.0,0,0,No,No,No,No,No
R,Biography|Crime|Drama,7.80000019,63.0,203702,35710000.0,263.0,1639.0,0,20,No,No,No,No,No
R,Biography|Drama|Romance,7.0,76.0,15690,6620000.0,183.0,,0,5,No,No,No,No,No
R,Comedy,7.5999999,76.0,433124,121460000.0,257.0,373.0,0,5,No,No,No,No,No
PG-13,Action|Adventure,6.5999999,58.0,341130,168370000.0,403.0,762.0,0,8,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,6.5,62.0,309284,200660000.0,606.0,1246.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Romance,7.19999981,59.0,131038,31970000.0,159.0,1428.0,0,0,No,No,No,No,No
R,Action|Adventure|Fantasy,6.5999999,44.0,125109,45800000.0,166.0,961.0,0,0,No,No,No,No,No
R,Comedy,6.9000001,51.0,218338,100470000.0,175.0,1423.0,0,0,No,No,No,No,No
R,Crime|Drama|Thriller,7.5999999,74.0,289057,92170000.0,381.0,453.0,0,14,No,No,No,No,No
R,Comedy|Drama|Romance,7.0999999,86.0,113102,20800000.0,323.0,3681.0,6,35,No,Yes,No,No,No
R,Crime|Horror|Thriller,6.5999999,42.0,69969,32720000.0,240.0,2224.0,0,0,No,No,No,No,No
PG-13,Action|Sci-Fi,8.10000038,69.0,1026544,623280000.0,707.0,366.0,2,16,No,No,No,No,No
PG-13,Comedy|Romance,5.5,55.0,65656,48240000.0,127.0,968.0,0,0,No,No,No,No,No
PG-13,Drama,7.69999981,79.0,38040,9420000.0,231.0,,0,7,No,No,No,No,No
PG-13,Biography|Drama|History,6.9000001,62.0,64050,13820000.0,194.0,3735.0,2,8,No,No,No,No,No
R,Biography|Drama,7.69999981,80.0,90161,18593156.0,302.0,4670.0,0,37,No,Yes,No,No,No
PG-13,Drama|Musical|Romance,5.80000019,49.0,38185,19670000.0,206.0,2791.0,1,23,No,No,No,No,No
PG-13,Biography|Drama|Sport,7.69999981,53.0,231382,255950000.0,262.0,632.0,3,6,No,Yes,No,No,Yes
,Drama|History|War,7.0999999,81.0,12837,120000.0,103.0,,0,1,No,No,No,No,No
R,Horror,7.19999981,58.0,227968,25590000.0,331.0,913.0,0,0,No,No,No,No,No
R,Comedy|Drama,7.0,63.0,255488,60340000.0,341.0,1777.0,0,8,No,No,No,No,No
R,Drama|History|Thriller,7.5999999,94.0,343364,15700000.0,389.0,818.0,36,65,Yes,Yes,Yes,No,No
PG-13,Comedy|Drama|Romance,6.0999999,52.0,80387,27760000.0,181.0,1550.0,0,0,No,No,No,No,No
PG,Animation|Action|Adventure,8.19999981,74.0,508250,217390000.0,289.0,1470.0,1,12,No,No,No,No,No
R,Adventure|Drama,7.30000019,64.0,183339,60000.0,358.0,1270.0,0,7,No,No,No,No,No
PG,Comedy|Romance,5.4000001,24.0,82041,58720000.0,152.0,1198.0,0,1,No,No,No,No,No
PG-13,Adventure|Fantasy,7.9000001,58.0,655908,303000000.0,646.0,257.0,1,15,No,No,No,No,No
R,Drama|Music|Romance,7.9000001,88.0,94927,9440000.0,233.0,2206.0,3,9,No,No,No,No,No
R,Action|Comedy|Crime,7.0,64.0,262683,87340000.0,233.0,1530.0,0,1,No,No,No,No,No
G,Animation|Adventure|Family,8.39999962,94.0,752912,223810000.0,424.0,1325.0,25,38,No,No,No,No,No
PG-13,Drama|War,7.80000019,55.0,139415,9030000.0,184.0,1086.0,0,1,No,No,No,No,No
R,Drama|Thriller,7.0999999,,73530,,56.0,1652.0,0,0,No,No,No,No,No
PG-13,Drama|Mystery,7.5,68.0,102109,33420000.0,292.0,1703.0,3,35,No,No,No,No,No
PG-13,Adventure|Family|Fantasy,7.69999981,65.0,346023,294980000.0,430.0,530.0,0,9,No,No,No,No,No
R,Drama,7.30000019,79.0,89573,47540000.0,321.0,1693.0,14,37,No,Yes,No,No,No
PG-13,Drama,7.0,76.0,41421,2220000.0,250.0,3220.0,0,4,No,No,No,No,No
PG,Action|Adventure|Family,4.19999981,20.0,121974,131560000.0,280.0,368.0,0,0,No,No,No,No,No
R,Action|Comedy,7.0,71.0,315053,110420000.0,309.0,770.0,3,14,No,No,No,No,No
PG-13,Action|Crime|Mystery,6.4000001,65.0,252530,118310000.0,329.0,1889.0,0,1,No,No,No,No,No
PG-13,Mystery|Romance|Sci-Fi,7.5,74.0,394300,54700000.0,527.0,796.0,0,0,No,No,No,No,No
R,Drama|Thriller,8.0,79.0,568921,106950000.0,667.0,348.0,19,74,No,Yes,No,No,Yes
PG-13,Action|Adventure,7.0,66.0,464229,262030000.0,609.0,671.0,0,7,No,No,No,No,No
PG-13,Drama|Music|Musical,6.5999999,40.0,2359,850000.0,71.0,,0,0,No,No,No,No,No
R,Sci-Fi|Thriller,5.0,34.0,166805,64510000.0,323.0,525.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Drama,6.69999981,53.0,217281,105220000.0,346.0,1702.0,0,5,No,No,No,No,No
R,Drama|Romance,7.30000019,69.0,157354,22880000.0,327.0,684.0,2,20,No,No,No,No,No
PG-13,Action|Comedy,5.5,54.0,160243,100020000.0,198.0,1826.0,0,0,No,No,No,No,No
PG,Biography|Drama|History,7.30000019,64.0,46857,10990000.0,188.0,943.0,4,8,No,No,No,No,No
PG-13,Comedy|Drama|Romance,6.4000001,,20741,,40.0,973.0,0,1,No,No,No,No,No
R,Biography|Drama|Sport,7.9000001,79.0,284158,93570000.0,411.0,1330.0,17,43,No,Yes,No,No,No
PG,Adventure|Drama|Family,7.5,83.0,253493,73820000.0,686.0,611.0,10,59,No,Yes,No,No,No
PG-13,Drama|Sci-Fi|Thriller,5.5,40.0,142415,79360000.0,275.0,1054.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Family,6.4000001,48.0,150419,64150000.0,190.0,1018.0,0,1,No,No,No,No,No
PG-13,Biography|Drama,6.80000019,55.0,62249,6000000.0,399.0,3657.0,0,5,No,No,No,No,No
R,Drama|Romance,7.5999999,58.0,195211,34180000.0,297.0,1445.0,7,22,No,Yes,No,No,Yes
R,Crime|Drama,7.19999981,82.0,22153,2510000.0,181.0,,1,7,No,No,No,No,No
PG-13,Action|Fantasy,6.0999999,33.0,201947,36380000.0,437.0,445.0,0,0,No,No,No,No,No
PG,Animation|Action|Adventure,7.4000001,68.0,182309,77560000.0,442.0,2512.0,3,11,No,No,No,No,No
PG-13,Drama|History|Thriller,7.0999999,56.0,189396,83080000.0,270.0,1482.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Crime,7.5999999,57.0,491204,209020000.0,416.0,417.0,2,4,No,No,No,No,No
PG-13,Action|Drama|Thriller,6.80000019,65.0,162193,40250000.0,415.0,572.0,1,6,No,No,No,No,No
R,Biography|Comedy|Crime,8.19999981,75.0,829204,116870000.0,611.0,132.0,3,39,No,Yes,No,No,No
R,Comedy|Drama|Romance,5.5,53.0,101184,152640000.0,226.0,1592.0,0,3,No,No,No,No,No
PG-13,Comedy|Drama|Romance,6.4000001,47.0,135320,93950000.0,159.0,1015.0,0,1,No,No,No,No,No
R,Comedy|Romance,6.5999999,56.0,152992,31450000.0,247.0,1364.0,0,0,No,No,No,No,No
PG-13,Biography|Drama,6.4000001,54.0,85175,29959436.0,332.0,3169.0,8,16,No,No,No,No,Yes
R,Drama,8.0,86.0,661819,141320000.0,419.0,646.0,33,64,Yes,Yes,Yes,No,No
PG-13,Action|Crime|Thriller,6.69999981,45.0,210049,155020000.0,225.0,1342.0,0,0,No,No,No,No,No
R,Biography|Drama|History,7.5999999,84.0,140251,31838002.0,325.0,2268.0,18,55,No,Yes,No,Yes,No
PG,Adventure|Family|Fantasy,6.5,53.0,317926,334190000.0,453.0,311.0,6,21,No,No,No,No,No
R,Crime|Drama|Thriller,6.5,41.0,44993,1210000.0,175.0,657.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Family,6.19999981,63.0,22953,44090000.0,71.0,1329.0,0,0,No,No,No,No,No
R,Comedy|Drama,7.0,79.0,105694,9190000.0,343.0,2027.0,1,23,No,Yes,No,No,No
PG-13,Biography|Drama|Histor,7.5,89.0,64976,52066000.0,367.0,489.0,2,20,No,Yes,No,No,No
PG-13,Comedy|Drama|Romance,7.69999981,76.0,389802,32390000.0,332.0,793.0,2,17,No,No,No,No,No
PG-13,Action|Drama|Sport,6.5999999,39.0,82607,24850000.0,139.0,1775.0,0,0,No,No,No,No,No
PG-13,Adventure|Biography|Drama,7.30000019,66.0,90396,2680000.0,216.0,1689.0,0,1,No,No,No,No,No
Not Rated,Biography|Drama,7.30000019,81.0,12255,240000.0,132.0,,0,0,No,No,No,No,No
R,Biography|Drama|History,7.69999981,86.0,468444,136020000.0,656.0,450.0,25,60,Yes,Yes,No,No,No
Not Rated,Thriller,7.0999999,,215402,,213.0,666.0,0,0,No,No,No,No,No
G,Drama|Family,8.10000038,,168524,,83.0,1094.0,0,0,No,No,No,No,No
PG,Biography|Drama|Family,7.19999981,61.0,21429,59700000.0,160.0,1077.0,0,0,No,No,No,No,No
R,Action|Crime|Thriller,7.30000019,53.0,199241,5690000.0,208.0,898.0,0,0,No,No,No,No,No
R,Comedy|Drama,7.30000019,84.0,208797,82620000.0,549.0,1680.0,10,48,No,Yes,No,No,No
R,Action|Drama|History,7.19999981,58.0,119539,28620000.0,199.0,1736.0,0,1,No,No,No,No,No
PG-13,Biography|Drama,6.69999981,65.0,32982,6110000.0,165.0,,0,7,No,No,No,No,No
R,Action|Adventure|Drama,6.9000001,53.0,235467,94820000.0,325.0,1644.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Romance,6.69999981,48.0,235812,163950000.0,223.0,689.0,1,5,No,No,No,No,No
R,Comedy|Drama|Romance,7.80000019,81.0,551547,132090000.0,539.0,626.0,17,44,No,Yes,No,No,Yes
R,Comedy|Drama|Romance,7.0,84.0,32861,3490000.0,219.0,,8,22,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,5.80000019,32.0,177901,150170000.0,250.0,1413.0,0,0,No,No,No,No,No
PG,Animation|Adventure|Comedy,8.30000019,88.0,698936,292980000.0,411.0,1068.0,17,32,No,Yes,No,No,No
PG-13,Adventure|Fantasy|Mystery,6.80000019,65.0,128632,7690000.0,293.0,1866.0,1,5,No,No,No,No,No
PG-13,Comedy|Drama|Romance,6.5999999,39.0,99020,53360000.0,139.0,1347.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,6.0,35.0,330372,402080000.0,368.0,1266.0,0,2,No,No,No,No,No
PG-13,Biography|Drama|History,7.4000001,74.0,128628,37480000.0,311.0,2004.0,0,11,No,No,No,No,No
PG-13,Action|Horror|Sci-Fi,7.0,64.0,307044,80030000.0,462.0,803.0,0,0,No,No,No,No,No
R,Drama,7.9000001,100.0,278651,25360000.0,558.0,736.0,39,68,No,Yes,No,No,No
PG-13,Drama,7.5,92.0,29948,3770000.0,210.0,,0,4,No,No,No,No,No
PG-13,Drama|Music,8.10000038,68.0,39872,1540000.0,165.0,,0,0,No,No,No,No,No
PG-13,Action|Adventure|Thriller,7.80000019,81.0,536992,304360000.0,755.0,543.0,16,39,No,No,No,No,No
,Crime|Drama,7.4000001,82.0,5173,620000.0,101.0,,0,0,No,No,No,No,No
PG-13,Comedy|Fantasy|Horror,6.19999981,55.0,205409,79710000.0,528.0,937.0,0,1,No,No,No,No,No
PG-13,Drama,7.4000001,51.0,76840,49190000.0,146.0,819.0,0,0,No,No,No,No,No
R,Drama|Romance,6.69999981,82.0,41905,12800000.0,232.0,4785.0,4,20,No,No,No,No,No
R,Action|Biography|Drama,7.5999999,60.0,212612,125070000.0,330.0,528.0,3,4,No,No,No,No,No
PG,Action|Adventure|Fantasy,2.70000005,45.0,58185,9350000.0,131.0,1250.0,0,0,No,No,No,No,No
PG-13,Drama|Fantasy|Romance,5.19999981,56.0,355587,191450000.0,349.0,326.0,3,4,No,No,No,No,No
R,Biography|Drama|Sport,7.0,81.0,112206,12100000.0,445.0,1646.0,1,19,No,No,No,No,No
PG,Action|Adventure|Sci-Fi,6.80000019,49.0,269848,172050000.0,469.0,876.0,2,8,No,No,No,No,No
R,Comedy,7.80000019,73.0,599702,277310000.0,335.0,549.0,3,8,No,No,No,No,No
R,Drama|Romance,7.4000001,81.0,147111,9700000.0,378.0,619.0,1,11,No,No,No,No,No
R,Drama,7.0999999,67.0,193172,40960000.0,424.0,1267.0,1,10,No,No,No,No,No
R,Drama|Sport,7.9000001,81.0,256185,26240000.0,390.0,1520.0,10,30,No,No,No,No,No
PG-13,Drama|Music|Musical,6.4000001,47.0,63348,39440000.0,196.0,416.0,1,5,No,No,No,No,No
PG-13,Comedy|Horror|Thriller,6.5999999,83.0,162255,42060000.0,399.0,1903.0,0,0,No,No,No,No,No
R,Mystery|Thriller,8.10000038,63.0,826668,127970000.0,495.0,256.0,0,6,No,No,No,No,No
R,Comedy|Horror,5.0999999,47.0,95079,16200000.0,300.0,1009.0,0,0,No,No,No,No,No
